Type	POS	Headword	Rank	Freq	Range	NormFreq	NormRange
the			1	2795	1	55044.607	1.000
and			2	1497	1	29481.852	1.000
was			3	1429	1	28142.663	1.000
a			4	1422	1	28004.805	1.000
to			5	1178	1	23199.480	1.000
of			6	1083	1	21328.554	1.000
he			7	1055	1	20777.124	1.000
in			8	974	1	19181.913	1.000
billy			9	798	1	15715.777	1.000
it			10	689	1	13569.136	1.000
had			11	632	1	12446.580	1.000
that			12	583	1	11481.576	1.000
his			13	540	1	10634.736	1.000
were			14	505	1	9945.448	1.000
on			15	489	1	9630.344	1.000
they			16	436	1	8586.565	1.000
i			17	400	1	7877.582	1.000
with			18	357	1	7030.742	1.000
there			19	355	1	6991.354	1.000
so			20	351	1	6912.579	1.000
s			21	348	1	6853.497	1.000
said			22	324	1	6380.842	1.000
for			23	299	1	5888.493	1.000
t			24	290	1	5711.247	1.000
him			25	266	1	5238.592	1.000
you			26	254	1	5002.265	1.000
from			27	243	1	4785.631	1.000
all			28	219	1	4312.976	1.000
as			29	210	1	4135.731	1.000
at			30	206	1	4056.955	1.000
one			31	200	1	3938.791	1.000
she			31	200	1	3938.791	1.000
by			33	195	1	3840.321	1.000
be			34	192	1	3781.240	1.000
about			35	188	1	3702.464	1.000
who			36	182	1	3584.300	1.000
out			37	175	1	3446.442	1.000
is			38	173	1	3407.054	1.000
an			39	168	1	3308.585	1.000
been			40	166	1	3269.197	1.000
which			41	161	1	3170.727	1.000
what			42	160	1	3151.033	1.000
now			43	148	1	2914.705	1.000
this			44	147	1	2895.012	1.000
war			44	147	1	2895.012	1.000
would			46	145	1	2855.624	1.000
but			47	144	1	2835.930	1.000
their			47	144	1	2835.930	1.000
or			49	143	1	2816.236	1.000
like			50	142	1	2796.542	1.000
time			50	142	1	2796.542	1.000
no			52	135	1	2658.684	1.000
up			52	135	1	2658.684	1.000
have			54	134	1	2638.990	1.000
then			54	134	1	2638.990	1.000
into			56	130	1	2560.214	1.000
them			56	130	1	2560.214	1.000
not			58	125	1	2461.744	1.000
pilgrim			59	122	1	2402.663	1.000
down			60	110	1	2166.335	1.000
goes			61	109	1	2146.641	1.000
her			61	109	1	2146.641	1.000
people			63	106	1	2087.559	1.000
weary			64	102	1	2008.784	1.000
we			65	101	1	1989.090	1.000
when			66	100	1	1969.396	1.000
could			67	99	1	1949.702	1.000
back			68	98	1	1930.008	1.000
two			68	98	1	1930.008	1.000
went			70	97	1	1910.314	1.000
going			71	96	1	1890.620	1.000
old			72	93	1	1831.538	1.000
me			73	91	1	1792.150	1.000
other			74	90	1	1772.456	1.000
again			75	88	1	1733.068	1.000
dresden			76	87	1	1713.374	1.000
too			77	85	1	1673.986	1.000
came			78	83	1	1634.598	1.000
told			79	81	1	1595.210	1.000
did			80	79	1	1555.823	1.000
only			81	78	1	1536.129	1.000
if			82	77	1	1516.435	1.000
made			83	76	1	1496.741	1.000
where			84	73	1	1437.659	1.000
little			85	72	1	1417.965	1.000
trout			86	71	1	1398.271	1.000
do			87	70	1	1378.577	1.000
my			87	70	1	1378.577	1.000
after			89	68	1	1339.189	1.000
are			90	67	1	1319.495	1.000
man			90	67	1	1319.495	1.000
didn			92	66	1	1299.801	1.000
american			93	65	1	1280.107	1.000
americans			94	62	1	1221.025	1.000
see			94	62	1	1221.025	1.000
dead			96	59	1	1161.943	1.000
know			97	58	1	1142.249	1.000
more			97	58	1	1142.249	1.000
over			97	58	1	1142.249	1.000
go			100	57	1	1122.555	1.000
himself			100	57	1	1122.555	1.000
any			102	56	1	1102.862	1.000
much			102	56	1	1102.862	1.000
way			102	56	1	1102.862	1.000
asked			105	55	1	1083.168	1.000
still			105	55	1	1083.168	1.000
very			105	55	1	1083.168	1.000
book			108	54	1	1063.474	1.000
day			108	54	1	1063.474	1.000
derby			108	54	1	1063.474	1.000
got			108	54	1	1063.474	1.000
home			108	54	1	1063.474	1.000
night			108	54	1	1063.474	1.000
how			114	53	1	1043.780	1.000
never			114	53	1	1043.780	1.000
years			114	53	1	1043.780	1.000
before			117	52	1	1024.086	1.000
just			117	52	1	1024.086	1.000
new			117	52	1	1024.086	1.000
world			117	52	1	1024.086	1.000
wasn			121	51	1	1004.392	1.000
will			122	50	1	984.698	1.000
father			123	49	1	965.004	1.000
right			123	49	1	965.004	1.000
three			123	49	1	965.004	1.000
another			126	48	1	945.310	1.000
come			126	48	1	945.310	1.000
even			126	48	1	945.310	1.000
some			126	48	1	945.310	1.000
things			126	48	1	945.310	1.000
those			126	48	1	945.310	1.000
though			126	48	1	945.310	1.000
through			126	48	1	945.310	1.000
german			134	47	1	925.616	1.000
get			135	46	1	905.922	1.000
its			135	46	1	905.922	1.000
saw			135	46	1	905.922	1.000
thing			135	46	1	905.922	1.000
while			135	46	1	905.922	1.000
because			140	45	1	886.228	1.000
good			140	45	1	886.228	1.000
has			140	45	1	886.228	1.000
lazzaro			140	45	1	886.228	1.000
men			140	45	1	886.228	1.000
being			145	44	1	866.534	1.000
everybody			145	44	1	866.534	1.000
many			145	44	1	866.534	1.000
say			145	44	1	866.534	1.000
valencia			145	44	1	866.534	1.000
around			150	43	1	846.840	1.000
bed			150	43	1	846.840	1.000
looked			150	43	1	846.840	1.000
poor			150	43	1	846.840	1.000
seen			150	43	1	846.840	1.000
first			155	42	1	827.146	1.000
found			155	42	1	827.146	1.000
ilium			155	42	1	827.146	1.000
off			155	42	1	827.146	1.000
can			159	41	1	807.452	1.000
put			159	41	1	807.452	1.000
read			159	41	1	807.452	1.000
rumfoord			159	41	1	807.452	1.000
away			163	40	1	787.758	1.000
eyes			163	40	1	787.758	1.000
here			163	40	1	787.758	1.000
thought			163	40	1	787.758	1.000
ll			167	39	1	768.064	1.000
lot			167	39	1	768.064	1.000
big			169	38	1	748.370	1.000
car			170	37	1	728.676	1.000
door			170	37	1	728.676	1.000
ever			170	37	1	728.676	1.000
god			170	37	1	728.676	1.000
look			170	37	1	728.676	1.000
really			170	37	1	728.676	1.000
tralfamadore			170	37	1	728.676	1.000
don			177	36	1	708.982	1.000
make			177	36	1	708.982	1.000
room			177	36	1	708.982	1.000
under			177	36	1	708.982	1.000
wanted			177	36	1	708.982	1.000
d			182	35	1	689.288	1.000
every			182	35	1	689.288	1.000
head			182	35	1	689.288	1.000
high			182	35	1	689.288	1.000
next			182	35	1	689.288	1.000
think			182	35	1	689.288	1.000
hospital			188	34	1	669.595	1.000
knew			188	34	1	669.595	1.000
long			188	34	1	669.595	1.000
m			188	34	1	669.595	1.000
o			188	34	1	669.595	1.000
without			188	34	1	669.595	1.000
gone			194	33	1	649.901	1.000
mother			194	33	1	649.901	1.000
shot			194	33	1	649.901	1.000
than			194	33	1	649.901	1.000
well			194	33	1	649.901	1.000
boy			199	32	1	630.207	1.000
death			199	32	1	630.207	1.000
end			199	32	1	630.207	1.000
life			199	32	1	630.207	1.000
might			199	32	1	630.207	1.000
most			199	32	1	630.207	1.000
outside			199	32	1	630.207	1.000
rosewater			199	32	1	630.207	1.000
took			199	32	1	630.207	1.000
couldn			208	31	1	610.513	1.000
four			208	31	1	610.513	1.000
guards			208	31	1	610.513	1.000
school			208	31	1	610.513	1.000
find			212	30	1	590.819	1.000
re			212	30	1	590.819	1.000
take			212	30	1	590.819	1.000
why			212	30	1	590.819	1.000
air			216	29	1	571.125	1.000
city			216	29	1	571.125	1.000
earth			216	29	1	571.125	1.000
hare			216	29	1	571.125	1.000
heard			216	29	1	571.125	1.000
since			216	29	1	571.125	1.000
between			222	28	1	551.431	1.000
each			222	28	1	551.431	1.000
germans			222	28	1	551.431	1.000
opened			222	28	1	551.431	1.000
somebody			222	28	1	551.431	1.000
themselves			222	28	1	551.431	1.000
work			222	28	1	551.431	1.000
anything			229	27	1	531.737	1.000
feet			229	27	1	531.737	1.000
killed			229	27	1	531.737	1.000
last			229	27	1	531.737	1.000
nothing			229	27	1	531.737	1.000
own			229	27	1	531.737	1.000
taken			229	27	1	531.737	1.000
woman			229	27	1	531.737	1.000
blue			237	26	1	512.043	1.000
moment			237	26	1	512.043	1.000
name			237	26	1	512.043	1.000
nobody			237	26	1	512.043	1.000
these			237	26	1	512.043	1.000
turned			237	26	1	512.043	1.000
famous			243	25	1	492.349	1.000
five			243	25	1	492.349	1.000
hard			243	25	1	492.349	1.000
inside			243	25	1	492.349	1.000
second			243	25	1	492.349	1.000
something			243	25	1	492.349	1.000
supposed			243	25	1	492.349	1.000
white			243	25	1	492.349	1.000
also			251	24	1	472.655	1.000
anybody			251	24	1	472.655	1.000
became			251	24	1	472.655	1.000
called			251	24	1	472.655	1.000
closed			251	24	1	472.655	1.000
course			251	24	1	472.655	1.000
died			251	24	1	472.655	1.000
dog			251	24	1	472.655	1.000
edgar			251	24	1	472.655	1.000
gave			251	24	1	472.655	1.000
hundred			251	24	1	472.655	1.000
kilgore			251	24	1	472.655	1.000
prisoners			251	24	1	472.655	1.000
sleep			251	24	1	472.655	1.000
talk			251	24	1	472.655	1.000
ve			251	24	1	472.655	1.000
your			251	24	1	472.655	1.000
babies			268	23	1	452.961	1.000
body			268	23	1	452.961	1.000
face			268	23	1	452.961	1.000
green			268	23	1	452.961	1.000
hadn			268	23	1	452.961	1.000
hands			268	23	1	452.961	1.000
human			268	23	1	452.961	1.000
let			268	23	1	452.961	1.000
place			268	23	1	452.961	1.000
tell			268	23	1	452.961	1.000
top			268	23	1	452.961	1.000
wife			268	23	1	452.961	1.000
books			280	22	1	433.267	1.000
children			280	22	1	433.267	1.000
earthling			280	22	1	433.267	1.000
else			280	22	1	433.267	1.000
far			280	22	1	433.267	1.000
front			280	22	1	433.267	1.000
full			280	22	1	433.267	1.000
jesus			280	22	1	433.267	1.000
light			280	22	1	433.267	1.000
montana			280	22	1	433.267	1.000
such			280	22	1	433.267	1.000
tralfamadorians			280	22	1	433.267	1.000
us			280	22	1	433.267	1.000
campbell			293	21	1	413.573	1.000
englishman			293	21	1	413.573	1.000
having			293	21	1	413.573	1.000
part			293	21	1	413.573	1.000
picture			293	21	1	413.573	1.000
should			293	21	1	413.573	1.000
